Interdisciplinary Data Analytics,DOTE1030,Economics for Business Studies I,ECO2011,Basic Microeconomics
Interdisciplinary Data Analytics,ENGG1110,Problem Solving by Programming,CSC1001/CSC1003,Introduction to Computer Science: Programming Methodology/ Introduction to Computer Science and Java Programming
Interdisciplinary Data Analytics,MATH1010,University Mathematics,MAT1001,Calculus I
Interdisciplinary Data Analytics,DOTE1040,Economics for Business Studies II,ECO2021,Basic Macroeconomics
Interdisciplinary Data Analytics,ENGG2440,Discrete Mathematics for Engineers,CSC3001,Discrete Mathematics
Interdisciplinary Data Analytics,MATH1030,Linear Algebra I,MAT2040,Linear Algebra
Interdisciplinary Data Analytics,MGNT1020,Management,MGT2020,Principles of Management
Interdisciplinary Data Analytics,STAT2001,Basic Concepts in Statistics and Probability I,STA2001/STA2001H,Probability and Statistics I/ Honours Probability and Statistics I
Interdisciplinary Data Analytics,SEEM2460,Introduction to Data Science,DDA2001,Introduction to Data Science
Interdisciplinary Data Analytics,CSCI1120,Introduction to Computing Using C++,CSC3002,C/C++ Programming
Interdisciplinary Data Analytics,CSCI2100,Data Structures,CSC3100,Data Structures
Interdisciplinary Data Analytics,CSCI3160,Design and Analysis of Algorithms,CSC4120,Design and Analysis of Algorithms
Interdisciplinary Data Analytics,CSCI3230,Fundamentals of Artificial Intelligence,ECE4010,Machine Intelligence and Applications
Interdisciplinary Data Analytics,CSCI3320,Fundamentals of Machine Learning,DDA3020,Machine Learning
Interdisciplinary Data Analytics,CSCI4250,Online Algorithms for Machine Learning and Optimization,DDA4230,Reinforcement Learning
Interdisciplinary Data Analytics,DOTE4280,Network and Security,ECE4007,Computer and Network Security
Interdisciplinary Data Analytics,ELEG2201,Digital Circuits and Computing Systems,ECE2050,Digital Logic and Systems
Interdisciplinary Data Analytics,FINA3080,Investment Analysis and Portfolio Management,FIN3080,Investment Analysis and Portfolio Management
Interdisciplinary Data Analytics,FINA4110,Options and Futures,FIN4110,Options and Futures
Interdisciplinary Data Analytics,FINA4120,Fixed Income Securities Analysis,FIN4120,Fixed Income Securities Analysis
Interdisciplinary Data Analytics,IERG2051,Signals and Systems,ECE3001,Signals and Systems
Interdisciplinary Data Analytics,IERG2310,Principles of Communication Systems,ECE3050,Principles of Communication Systems
Interdisciplinary Data Analytics,IERG3080,Information and Software Engineering Practice,CSC4001,Software Engineering
Interdisciplinary Data Analytics,IERG3280,"Networks: Technology, Economics, and Social Interactions",ECE3280,"Networks: Technology, Economics and Society"
Interdisciplinary Data Analytics,IERG3310,Computer Networks,ECE4016,Computer Networks
Interdisciplinary Data Analytics,IERG3320,Social Media and Human Information Interaction,ECE4300,Systems Design in Human- Computer Interaction
Interdisciplinary Data Analytics,IERG4230,Introduction to Internet of Things,CSC4150,Mobile Computing with Internet of Things
Interdisciplinary Data Analytics,IERG4300,Web-scale Information Analytics,ERG3020,Web Analytics and Intelligence
Interdisciplinary Data Analytics,MATH2010,Advanced Calculus I,MAT1002,Calculus II
Interdisciplinary Data Analytics,MATH3215,Operations Research,MAT3007,Optimization
Interdisciplinary Data Analytics,MATH3230,Numerical Analysis,MAT4001,Numerical Analysis
Interdisciplinary Data Analytics,MATH3240,Numerical Methods for Differential Equations,MAT4240,Numerical Methods for Differential Equations
Interdisciplinary Data Analytics,MATH3270,Ordinary Differential Equations,MAT2001,Honours Ordinary Differential Equations
Interdisciplinary Data Analytics,MATH3280,Introductory Probability,MAT3280,Probability Theory
Interdisciplinary Data Analytics,MATH3290,Mathematical Modeling,MAT3300,Mathematical Modeling
Interdisciplinary Data Analytics,MATH3320,Foundation of Data Analytics,DDA3020,Machine Learning
Interdisciplinary Data Analytics,MATH4240,Stochastic Processes,STA4001,Stochastic Processes
Interdisciplinary Data Analytics,MGNT3010,Organizational Behavior,MGT3010,Organizational Behavior
Interdisciplinary Data Analytics,MKTG3010,Marketing Research,MKT4120,Marketing Research
Interdisciplinary Data Analytics,MKTG3020,Consumer Behaviour,MKT3020,Consumer Behavior
Interdisciplinary Data Analytics,MKTG3030,Integrated Marketing Communication,MKT3030,Integrated Marketing Communication
Interdisciplinary Data Analytics,MKTG3060,Big Data Strategy in Marketing,MKT4220,Big Data Marketing
Interdisciplinary Data Analytics,MKTG4030,Service Marketing,MKT4030,Service Marketing
Interdisciplinary Data Analytics,MKTG4040,Strategic Marketing,MKT4040,Strategic Marketing
Interdisciplinary Data Analytics,RMSC4003,Statistical Modelling in Financial Markets,STA4020,Statistical Modelling in Financial Markets
Interdisciplinary Data Analytics,SEEM3430,Information Systems Analysis and Design,CSC4001,Software Engineering
Interdisciplinary Data Analytics,SEEM3580,Risk Analysis for Financial Engineering,RMS4060,Risk Management with Derivatives
Interdisciplinary Data Analytics,SEEM4630,E-Commerce Data Mining,CSC4008,Techniques for Data Mining
Interdisciplinary Data Analytics,SEEM4730,Statistics Modeling and Analysis in Financial Engineering,FMA4200,Financial Data Analysis
Interdisciplinary Data Analytics,SEEM4730,Statistics Modeling and Analysis in Financial Engineering,STA4020,Statistical Modelling in Financial Markets
Interdisciplinary Data Analytics,SEEM4750,Advances in Logistics and Supply Chain Management,MGT4270,Current and Regional Issues in Supply Chain and Logistics Management
Interdisciplinary Data Analytics,STAT2005,Programming Languages for Statistics,STA3005,Statistical Computing
Interdisciplinary Data Analytics,STAT2006,Basic Concepts in Statistics and Probability II,STA2002/STA2002H,Probability and Statistics II/ Honours Probability and Statistics II
Interdisciplinary Data Analytics,STAT3005,Nonparametric Statistics,STA3007,Nonparametric Statistics
Interdisciplinary Data Analytics,STAT3008,Applied Regression Analysis,STA3001,Linear Models
Interdisciplinary Data Analytics,STAT4001,Data Mining and Statistical Learning,DDA3020,Machine Learning
Interdisciplinary Data Analytics,STAT4003,Statistical Inference,STA3020,Statistical Inference
Interdisciplinary Data Analytics,STAT4005,Time Series,STA4003,Time Series
Integrated BBA,ACCT2111,Introductory Financial Accounting,ACT2111,Introductory Financial Accounting
Integrated BBA,ACCT2121,Introductory Management Accounting,ACT2121,Introductory Management Accounting
Integrated BBA,DOTE2030,Operations Management,DMS2030,Operations Management
Integrated BBA,DOTE4280,Network and Security,ECE4007,Computer and Network Security
Integrated BBA,FINA2010,Financial Management,FIN2010,Financial Management
Integrated BBA,FINA3080,Investment Analysis and Portfolio Management,FIN3080,Investment Analysis and Portfolio Management
Integrated BBA,FINA4110,Options and Futures,FIN4110,Options and Futures
Integrated BBA,FINA4120,Fixed Income Securities Analysis,FIN4120,Fixed Income Securities Analysis
Integrated BBA,MGNT3010,Organizational Behavior,MGT3010,Organizational Behavior
Integrated BBA,MKTG2010,Marketing Management,MKT2010,Marketing Management
Integrated BBA,MKTG3010,Marketing Research,MKT4120,Marketing Research
Integrated BBA,MKTG3030,Integrated Marketing Communication,MKT3030,Integrated Marketing Communication
Integrated BBA,MKTG4040,Strategic Marketing,MKT4040,Strategic Marketing
Information Engineering,CSCI2100,Data Structures,CSC3100,Data Structures
Information Engineering,CSCI3160,Design and Analysis of Algorithms,CSC4120,Design and Analysis of Algorithms
Information Engineering,IERG2051,Signals and Systems,ECE3001,Signals and Systems
Information Engineering,IERG2310,Principles of Communication Systems,ECE3050,Principles of Communication Systems
Information Engineering,IERG3010,Digital Communications,ECE4002,Digital Communications
Information Engineering,IERG3060,Microcontrollers and Embedded Systems,ECE3080,Microprocessors and Computer Systems
Information Engineering,IERG3080,Information and Software Engineering Practice,CSC4001,Software Engineering
Information Engineering,IERG3280,"Networks: Technology, Economics, and Social",ECE3280,"Networks: Technology, Economics and Society"
Information Engineering,,Interactions,,
Information Engineering,IERG3310,Computer Networks,ECE4016,Computer Networks
Information Engineering,IERG3320,Social Media and Human Information Interaction,ECE4300,Systems Design in Human- Computer Interaction
Information Engineering,IERG3810,Microcontrollers and Embedded Systems Laboratory,ECE3810,Embedded Systems Laboratory
Information Engineering,IERG4030,Optical Communications,ECE4004,Introduction to Optical Communications
Information Engineering,IERG4100,Wireless Communication Systems,ECE4003,Wireless Communication Systems
Information Engineering,IERG4150,Introduction to Cryptography,MAT4007,Introduction to Cryptography
Information Engineering,IERG4160,Image Processing and Visual Understanding,ECE4512,Digital Image Processing
Information Engineering,IERG4180,Network Software Design and Programming,ECE4180,Network Software Design and Programming
Information Engineering,IERG4190,Multimedia Coding and Processing,ECE4190,Multimedia Coding and Networking
Information Engineering,IERG4230,Introduction to Internet of Things,CSC4150,Mobile Computing with Internet of Things
Information Engineering,IERG4300,Web-scale Information Analytics,ERG3020,Web Analytics and Intelligence
Systems Engineering and Engineering Management,CSCI1130,Introduction to Computing Using Java,CSC1003,Introduction to Computer Science and Java Programming
Systems Engineering and Engineering Management,CSCI2100,Data Structures,CSC3100,Data Structures
Systems Engineering and Engineering Management,ENGG1130,Multivariable Calculus for Engineers,MAT1002,Calculus II
Systems Engineering and Engineering Management,SEEM2420,Operations Research I,MAT3007,Optimization
